TITULO,CODIGO INMUEBLE,ÁREA PRIVADA,ÁREA CONSTRUÍDA,PRECIO POR M²,ESTRATO,ANTIGUEDAD,HABITACIONES,BAÑOS,PARQUEADEROS,BARRIO,DIRECCIÓN,PRECIO
Casa en venta,7506129,0 m²,146.0m²,3287671,3,más de 30 años,4,4,0,Engativá - Bogotá,Preguntar al anunciante,479999966
Apartamento en venta,7034844,0 m²,99.0m²,6060606,4,9 a 15 años,3,2,2,Engativá - Bogotá,Preguntar al anunciante,599999994
Apartamento en venta,6994863,0 m²,40.0m²,4500000,2,9 a 15 años,3,1,0,Engativá - Bogotá,Preguntar al anunciante,180000000
Apartamento en venta,6292617,0 m²,74.0m²,4121621,3,Sin información,3,2,1,Engativá - Bogotá,Preguntar al anunciante,304999954
Casa en venta,6184074,0 m²,100.0m²,3100000,3,Sin información,3,3,2,Engativá - Bogotá,Preguntar al anunciante,310000000
Apartamento en venta,7024982,0 m²,56.0m²,3392857,3,más de 30 años,3,1,0,Engativá - Bogotá,Preguntar al anunciante,189999992
Casa en venta,7105445,0 m²,89.0m²,3539325,3,más de 30 años,3,1,0,Engativá - Bogotá,Preguntar al anunciante,314999925
Casa en venta,7210913,0 m²,400.0m²,1625000,4,Sin información,3,2,0,Engativá - Bogotá,Preguntar al anunciante,650000000
Apartamento en venta,7126417,0 m²,68.0m²,3676470,3,Sin información,3,2,0,Engativá - Bogotá,Preguntar al anunciante,249999960
Apartamento en venta,8022812,0 m²,69.0m²,4782608,4,1 a 8 años,3,2,1,Engativá - Bogotá,Preguntar al anunciante,329999952
Casa en venta,7124474,0 m²,79.0m²,2911392,3,16 a 30 años,2,1,0,Engativá - Bogotá,Preguntar al anunciante,229999968
Apartamento en venta,8023603,50 m²,50.0m²,3420000,2,9 a 15 años,3,2,0,Engativa - Bogotá,Preguntar al anunciante,171000000
Casa en venta,7953617,66 m²,66.0m²,6818181,3,más de 30 años,3,2,0,engativa - Bogotá,Preguntar al anunciante,449999946
Casa en venta,7096133,95 m²,95.0m²,3578947,3,más de 30 años,4,2,0,engativa - Bogotá,Preguntar al anunciante,339999965
